session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,commands,event_types,raw_event_count,file_transfer_bytes,label,tactics,source,split,persona,ip_source,target_group,target_criticality,identity_is_synthetic,ip_is_synthetic,ts_is_synthetic,real_user,real_client_ip,real_target_ip,real_target_hostname,mitre,composition,attack_command_count,campaign_id,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil,new_source_ip_for_user,new_source_ip_globally,ip_foreign_to_user,distinct_source_ips_prior,distinct_source_ips_24h,source_ip_entropy
gen-f02e245429dbdbb2f69b95a5,mehdi,p_audit,10.20.30.153,10.10.50.28,mon-01,2026-06-08T13:48:34+00:00,2026-06-08T13:48:45.051415+00:00,11.05,"['ls -A', 'w', 'w', 'ls -a /var/spool', 'w', 'ls -A', 'ls -laut', 'ls -A', 'cat file{1..5}.txt', ""grep -o 'user' users.txt"", ""grep -E 'http[s]?://\\S+' file.txt"", 'ls -A', ""grep -r 'panic' /var/log"", 'ls -A']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",14,0,benign,[],generated,train,auditor,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-08 13:48:34+00:00,2026-06-08 13:48:45.051415+00:00,11.05,13,0,0,14,0.5714285714285714,10.785714285714286,2.6384600665861555,0,0,0,0,0,0,0,0,0,10,5,1.675398398240431
gen-f85bc6631416464a2f88b00b,amine,p_audit,10.20.30.162,10.10.50.28,mon-01,2026-06-29T15:59:27+00:00,2026-06-29T15:59:34.161292+00:00,7.16,"['cat /sys/class/net/eth0/speed', 'cat /sys/class/net/eth0/speed', 'ls -la ~', ""grep 'localhost' /etc/hosts"", 'ls --color=none ~', ""grep 'ssh' /var/log/messages"", 'ls --color=none ~', 'find /opt -path ""*/tmp"" -prune -o -type f -print', 'ls -lht']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,auditor,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-29 15:59:27+00:00,2026-06-29 15:59:34.161292+00:00,7.16,15,0,0,9,0.7777777777777778,23.333333333333332,2.725480556997868,0,0,0,0,0,0,0,0,0,40,5,1.189770936701141
gen-f0b180c6d4b1234724f87dc6,leila,bastionsvc,10.20.40.78,10.10.50.28,mon-01,2026-06-29T07:49:10+00:00,2026-06-29T07:49:13.588491+00:00,3.59,"['cd /usr/share/info', 'du -B 100K', 'df -h --output=source,fstype', 'du -B 1E']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-29 07:49:10+00:00,2026-06-29 07:49:13.588491+00:00,3.59,7,1,0,4,1.0,16.0,2.0,0,0,0,0,0,0,0,0,0,66,3,2.2513409041098766
gen-f9de5e8c7ee797b36a3e1ac5,hamza,p_dba,10.20.20.92,10.10.20.10,db-prod-01,2026-06-15T11:22:54+00:00,2026-06-15T11:23:01.017258+00:00,7.02,"['find /tmp \\( -user alice -o -user bob \\)', 'du -B 4M', 'find /tmp \\( -user alice -o -user bob \\)', ""df -h | awk '$5+0 < 20'"", 'du -B 4M', 'ps', ""df -h | awk '$5+0 < 20'"", 'find /tmp \\( -user alice -o -user bob \\)', 'du -B 8K']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,dba,home,db,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-15 11:22:54+00:00,2026-06-15 11:23:01.017258+00:00,7.02,11,0,0,9,0.5555555555555556,21.333333333333332,2.197159723424149,0,0,0,0,0,0,0,0,0,34,2,1.2411853081440078
gen-7ffe746f699e31a5ec16d85b,mehdi,p_audit,10.20.30.153,10.10.50.28,mon-01,2026-06-15T14:41:38+00:00,2026-06-15T14:41:49.082783+00:00,11.08,"['find /tmp -maxdepth 3 -type f', 'find /opt -path ""*/tmp"" -prune -o -type f -print', 'find /opt -path ""*/tmp"" -prune -o -type f -print', 'ls -iF', 'find /tmp -maxdepth 3 -type f', 'find /tmp -maxdepth 3 -type f', 'find /home \\( -name ""*.txt"" -o -name ""*.md"" \\)', 'w', ""grep 'eth0' /var/log/syslog"", 'ls -Sr ~', 'find /tmp -iregex "".*/temp.*""', ""grep -E '\\bnet\\w*' logs/*.txt"", 'ls -iF', ""grep '\\[.*\\]' log.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",14,0,benign,[],generated,train,auditor,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-15 14:41:38+00:00,2026-06-15 14:41:49.082783+00:00,11.08,14,0,0,14,0.7142857142857143,25.428571428571427,3.1820058147602133,0,0,0,0,0,0,0,0,0,18,5,1.8243425697630857
gen-e7337da704502eb517819bd5,omar,p_dba,10.20.20.23,10.10.20.12,db-prod-03,2026-06-01T07:11:23+00:00,2026-06-01T07:11:31.890345+00:00,8.89,"['du -B 64K', 'df -i', 'find . -type f | tail -n 5', 'find . -type f | tail -n 5', 'find . -type f | tail -n 5', 'df -h --output=source,fstype,used', 'find /tmp -ctime -2 -type d', 'du -B 64K', ""grep -r 'function' ."", 'du -B 8M', 'find . -type f | tail -n 5']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",11,0,benign,[],generated,train,dba,home,db,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-01 07:11:23+00:00,2026-06-01 07:11:31.890345+00:00,8.89,7,1,0,11,0.6363636363636364,19.545454545454547,2.550340709546388,0,0,0,0,0,0,0,0,0,1,1,0.0
gen-087758043fde98140ec0ad4b,ghita,p_dev,10.20.10.36,10.10.30.14,web-prod-01,2026-06-24T07:23:52+00:00,2026-06-24T07:23:55.060594+00:00,3.06,"['find /data -type f -ls', ""grep -v 'tmp' filelist.txt"", ""grep -v 'tmp' filelist.txt"", ""grep -v 'tmp' filelist.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,home,web,2,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-24 07:23:52+00:00,2026-06-24 07:23:55.060594+00:00,3.06,7,1,0,4,0.5,25.0,0.8112781244591328,0,0,0,0,0,0,0,0,0,25,1,2.1398524017065372
gen-89071128b96524a024b252ea,sara,bastionsvc,10.20.40.189,10.10.50.27,backup-01,2026-06-29T12:32:41+00:00,2026-06-29T12:32:46.488873+00:00,5.49,"['curl --version', 'curl --version', 'cd -L mylink', 'systemctl', 'du -k', 'ls -1 ~/Documents']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",6,0,benign,[],generated,train,admin,home,infra,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-29 12:32:41+00:00,2026-06-29 12:32:46.488873+00:00,5.49,12,0,0,6,0.8333333333333334,11.833333333333334,2.2516291673878226,0,0,0,0,0,0,0,0,0,52,5,1.3385666166300396
gen-bb637777f0f956573162c152,hamza,p_dba,10.20.20.92,10.10.20.10,db-prod-01,2026-06-10T10:04:52+00:00,2026-06-10T10:04:58.531624+00:00,6.53,"['find /tmp -perm 644', 'du -h --threshold=500M', 'du -h --threshold=500M', 'du -B 64P', 'find /tmp -perm 644', 'ps', 'du -b', 'du -B 16K']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dba,home,db,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-10 10:04:52+00:00,2026-06-10 10:04:58.531624+00:00,6.53,10,0,0,8,0.75,13.375,2.5,0,0,0,0,0,0,0,0,0,26,4,1.2097033453223909
gen-9f88fc0ce5203d851e46d6ac,nadia,p_dev,10.99.25.231,10.10.40.23,build-01,2026-06-22T14:01:10+00:00,2026-06-22T14:01:13.976298+00:00,3.98,"[""grep -r 'panic' /var/log"", 'chmod', 'git', 'cat /etc/logrotate.d/rsyslog']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,vpn,dev,2,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-22 14:01:10+00:00,2026-06-22 14:01:13.976298+00:00,3.98,14,0,0,4,1.0,15.0,2.0,0,0,0,0,0,0,1,1,0,25,6,1.224633407055704
gen-390d7a9e25f7feb27f564902,leila,bastionsvc,10.20.40.78,10.10.50.28,mon-01,2026-06-15T13:38:58+00:00,2026-06-15T13:39:08.026864+00:00,10.03,"['curl --help', 'curl --help', 'curl --help', 'free -b -w', 'cd /var/log/btmp', 'df -h | sort -k 4 -h', 'free -b -w', 'free -b -w', 'free -b -w', 'curl --version', 'free -b -w', 'curl --version']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",12,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-15 13:38:58+00:00,2026-06-15 13:39:08.026864+00:00,10.03,13,0,0,12,0.4166666666666667,12.25,2.054585169337799,0,0,0,0,0,0,0,0,0,34,8,2.104444319312198
gen-9f3814683c9c1cd2eb1f4a1c,khadija,p_dev,10.20.10.193,10.10.30.16,web-stg-01,2026-06-08T08:08:13+00:00,2026-06-08T08:08:24.763064+00:00,11.76,"['git', 'git', ""grep '[0-9]' file.txt"", 'awk \'{print $1 ""-"" $3}\' file.txt', ""grep '[0-9]' file.txt"", 'git', 'cat /proc/cpuinfo', 'git', 'find /srv -path ""*/logs"" -prune -o -type f -print', 'awk \'{print $1 ""-"" $3}\' file.txt', 'python3', ""grep 'token' *.json""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",12,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-08 08:08:13+00:00,2026-06-08 08:08:24.763064+00:00,11.76,8,0,0,12,0.5833333333333334,17.5,2.584962500721156,0,0,0,0,0,0,0,0,0,7,2,0.6912047231656377
gen-ec24a3c5c754108ff4188f3f,ghita,p_dev,10.20.10.36,10.10.40.21,dev-04,2026-06-10T09:27:10+00:00,2026-06-10T09:27:17.708249+00:00,7.71,"['python3', 'python3', 'find /tmp -type f -newerct ""2025-06-01""', 'gzip', 'python3', 'cat /dev/urandom | head -c 16', 'tail -n 20 file.txt', 'find /home -maxdepth 1 -type d']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-10 09:27:10+00:00,2026-06-10 09:27:17.708249+00:00,7.71,9,0,0,8,0.75,17.75,2.4056390622295662,0,0,0,0,0,0,0,0,0,11,3,1.8607227218262967
gen-fffdf44b5d02b0349a1f9c0a,leila,p_admin,10.20.40.78,10.10.50.28,mon-01,2026-06-22T09:09:47+00:00,2026-06-22T09:09:52.939747+00:00,5.94,"['ls -tu /bin', 'ls -tu /bin', 'cd /usr/share/zoneinfo/Africa', 'df -h --output=source,used', 'cd /usr/local/opt', 'cd /usr/share/doc', 'df -h --output=source,fstype,size']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",7,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-22 09:09:47+00:00,2026-06-22 09:09:52.939747+00:00,5.94,9,0,0,7,0.8571428571428571,20.571428571428573,2.521640636343318,0,0,0,0,0,0,0,0,0,51,4,2.263510849011281
gen-90779aec1144462858a447ab,khadija,p_dev,10.20.10.193,10.10.40.19,dev-02,2026-06-17T10:00:11+00:00,2026-06-17T10:00:20.487602+00:00,9.49,"[""awk 'NR <= 10' file.txt"", ""awk 'NR <= 10' file.txt"", ""grep '^$' file.txt"", ""grep '^$' file.txt"", ""grep '^$' file.txt"", 'gzip', ""awk 'NR <= 10' file.txt"", 'awk \'{printf ""%05d\\n"", $1}\' file.txt', 'cd', 'gzip']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",10,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-17 10:00:11+00:00,2026-06-17 10:00:20.487602+00:00,9.49,10,0,0,10,0.5,16.9,2.1709505944546685,0,0,0,0,0,0,0,0,0,22,2,1.189158233054851
gen-de737e8008b93846d53cb93b,sara,bastionsvc,10.20.40.189,10.10.50.27,backup-01,2026-06-10T12:07:23+00:00,2026-06-10T12:07:32.371501+00:00,9.37,"['free --help', 'ls -laSh', 'ls -laSh', 'df -m', 'ls -d /p*/', 'ls -laSh', 'cd /usr/bin', 'df -h --output=source,pcent', 'cp', 'df -t nfs']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",10,0,benign,[],generated,train,admin,home,infra,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-10 12:07:23+00:00,2026-06-10 12:07:32.371501+00:00,9.37,12,0,0,10,0.8,9.9,2.8464393446710154,0,0,0,0,0,0,0,0,0,20,2,1.0604420339360763
gen-80913ac10463750e49646b96,ghita,p_dev,10.99.140.139,10.10.30.15,web-prod-02,2026-06-17T10:40:42+00:00,2026-06-17T10:40:45.869504+00:00,3.87,"[""grep -w 'usb' *.log"", 'find /var -regex "".*/error_[0-9]+\\.log""', 'find /tmp -size -100c', 'cd']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,vpn,web,2,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-17 10:40:42+00:00,2026-06-17 10:40:45.869504+00:00,3.87,10,0,0,4,1.0,20.25,2.0,0,0,0,0,0,0,1,1,0,18,5,1.9721400856552902
gen-350b7a360e4a04d809e676fe,khadija,p_dev,10.20.10.193,10.10.30.16,web-stg-01,2026-06-19T04:43:01+00:00,2026-06-19T04:43:05.550629+00:00,4.55,"[""grep 'home' /etc/fstab"", 'python3', ""awk '{print $0, length($0)}' file.txt"", 'find /home/user -type f -name ""report*""', 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",5,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-19 04:43:01+00:00,2026-06-19 04:43:05.550629+00:00,4.55,4,1,0,5,0.8,22.4,1.9219280948873623,0,0,0,0,0,0,0,0,0,22,1,1.119956615382331
