session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,commands,event_types,raw_event_count,file_transfer_bytes,label,tactics,source,split,persona,ip_is_placeholder,ts_is_synthetic,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil
gen-aaf915310200b1f08768a84f,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-12T12:10:28+00:00,2026-06-12T12:10:32.422576+00:00,4.42,"['cd', 'cd', 'cd', ""awk 'NR>=5 && NR<=10' file.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-12 12:10:28+00:00,2026-06-12 12:10:32.422576+00:00,4.42,12,0,0,4,0.5,9.0,0.8112781244591328,0,0,0,0,0,0
gen-1ca3c4480279b6a68f9797b0,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-09T08:05:40+00:00,2026-06-09T08:05:46.500211+00:00,6.5,"['cat <(echo line1) <(echo line2)', ""awk '$2 == 0' data.txt"", 'cat <(echo line1) <(echo line2)', 'zip datafiles.zip *.dat', 'cat <(echo line1) <(echo line2)', 'zip archive.zip file1.txt', 'zip archive.zip file1.txt', ""sed -n '/[^0-9]/p' file.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-09 08:05:40+00:00,2026-06-09 08:05:46.500211+00:00,6.5,8,0,0,8,0.625,26.875,2.1556390622295662,0,0,0,0,0,0
gen-aabc25fa3fe12e47ae9bec36,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-05T08:19:23+00:00,2026-06-05T08:19:27.709258+00:00,4.71,"[""awk '!/debug/' log.txt"", 'git', 'git', 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-05 08:19:23+00:00,2026-06-05 08:19:27.709258+00:00,4.71,8,0,0,4,0.5,7.75,0.8112781244591328,0,0,0,0,0,0
gen-bc2cbb0ddd334cc7ab7f089a,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-08T10:56:26+00:00,2026-06-08T10:56:29.421917+00:00,3.42,"['cat file.txt | column -t', 'awk \'{print $1 ""-"" $3}\' file.txt', 'zip -r data.zip data', 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-08 10:56:26+00:00,2026-06-08 10:56:29.421917+00:00,3.42,10,0,0,4,1.0,19.75,2.0,0,0,0,0,0,0
gen-98b8e4cc1bc044fc09cb3942,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-09T13:41:32+00:00,2026-06-09T13:41:39.774813+00:00,7.77,"['cat -T file.txt', 'cd', ""awk '/error/' log.txt"", 'cd', 'cd', 'cd', 'cat file.txt | grep pattern', 'cat file.txt | grep pattern']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-09 13:41:32+00:00,2026-06-09 13:41:39.774813+00:00,7.77,13,0,0,8,0.5,12.25,1.75,0,0,0,0,0,0
gen-311c6eb62095eef68dedf9fb,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-15T09:42:58+00:00,2026-06-15T09:43:04.469057+00:00,6.47,"['cat file.txt | expand', 'python3', 'cd', 'git', 'git', 'git', ""awk '$2 == 0' data.txt"", 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-15 09:42:58+00:00,2026-06-15 09:43:04.469057+00:00,6.47,9,0,0,8,0.625,8.0,2.0,0,0,0,0,0,0
gen-3eae00320bd4a9900640be0f,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-16T10:42:05+00:00,2026-06-16T10:42:11.767725+00:00,6.77,"['bzip2 log.txt', 'zip -r screenshots.zip screenshots', 'zip -r screenshots.zip screenshots', 'chmod a+rx start.sh', 'zip -r screenshots.zip screenshots', 'touch /var/log/Xorg.0.log', 'python3', 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-16 10:42:05+00:00,2026-06-16 10:42:11.767725+00:00,6.77,10,0,0,8,0.75,21.125,2.4056390622295662,0,0,0,0,0,0
gen-9cd6c852714c7df4e4347d51,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-26T16:29:03+00:00,2026-06-26T16:29:09.441415+00:00,6.44,"['gzip config.xml', 'python3', 'touch /var/log/kern.log', 'python3', 'git', ""awk '/^ERROR/' log.txt"", 'awk \'{gsub(/ /,""-""); print}\' file.txt', 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-26 16:29:03+00:00,2026-06-26 16:29:09.441415+00:00,6.44,16,0,0,8,0.75,14.625,2.5,0,0,0,0,0,0
gen-34f3193c0ff0a55c6a702e2f,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-08T12:21:20+00:00,2026-06-08T12:21:25.557980+00:00,5.56,"['python3', 'python3', 'python3', 'zip go_app.zip main.go config.yaml', 'cat < file.txt', ""sed 's/name/NAME/g' file.txt"", 'zip go_app.zip main.go config.yaml', 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-08 12:21:20+00:00,2026-06-08 12:21:25.557980+00:00,5.56,12,0,0,8,0.5,17.25,1.75,0,0,0,0,0,0
gen-e82c7d7b06e745f988bc539c,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-08T15:14:17+00:00,2026-06-08T15:14:22.580060+00:00,5.58,"['python3', ""awk '/error/ {print NR}' log.txt"", ""awk '/error/ {print NR}' log.txt"", ""awk '{t+=$4} END {print t, t/NR}' file.txt"", ""awk '{t+=$4} END {print t, t/NR}' file.txt"", 'awk \'{gsub("","", "" ""); print}\' file.txt', 'zip configfiles.zip *.conf', 'gzip archive.zip']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-08 15:14:17+00:00,2026-06-08 15:14:22.580060+00:00,5.58,15,0,0,8,0.75,29.375,2.5,0,0,0,0,0,0
gen-2702878b9f0fda8d05379ff6,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-16T08:47:34+00:00,2026-06-16T08:47:39.515433+00:00,5.52,"['touch ~/locale-langpack', 'cd', 'awk \'$2 == ""admin""\' users.txt', 'cd', 'git', 'cd', 'cd', 'touch ~/locale-langpack']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-16 08:47:34+00:00,2026-06-16 08:47:39.515433+00:00,5.52,8,0,0,8,0.5,10.75,1.75,0,0,0,0,0,0
gen-c85aca4690e0f4a0fbdd3933,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-19T14:25:45+00:00,2026-06-19T14:25:52.117170+00:00,7.12,"['git', 'find /tmp -iregex "".*/temp.*""', 'find /tmp -iregex "".*/temp.*""', 'git', 'zip deploy.zip deployment.sh config.env', 'find /tmp -iregex "".*/temp.*""', 'cd', 'find /tmp -iregex "".*/temp.*""']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-19 14:25:45+00:00,2026-06-19 14:25:52.117170+00:00,7.12,14,0,0,8,0.5,20.375,1.75,0,0,0,0,0,0
gen-45241ea6a6846099f7294951,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-04T14:23:40+00:00,2026-06-04T14:23:43.112398+00:00,3.11,"['cat file.txt | expand', 'python3', 'cat file.txt | md5sum', 'chmod a+x-w script.sh']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-04 14:23:40+00:00,2026-06-04 14:23:43.112398+00:00,3.11,14,0,0,4,1.0,17.5,2.0,0,0,0,0,0,0
gen-680bac63b856d0353dc98290,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-29T13:11:31+00:00,2026-06-29T13:11:37.949649+00:00,6.95,"[""grep 'def' *.py"", 'chmod a+r changelog.md', 'cat /sys/class/net/eth0/speed', ""grep 'def' *.py"", ""grep 'def' *.py"", ""grep 'def' *.py"", 'bzip2 image.png', ""grep 'def' *.py""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-29 13:11:31+00:00,2026-06-29 13:11:37.949649+00:00,6.95,13,0,0,8,0.5,17.625,1.5487949406953985,0,0,0,0,0,0
gen-7bf47042bd1531c83764fbda,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-18T13:22:44+00:00,2026-06-18T13:22:51.170495+00:00,7.17,"['find /home -type f -links +1', 'find /home -type f -links +1', ""sed 's/ *$//' file.txt"", 'cd', 'find /home -type f -links +1', 'find /home -type f -links +1', 'find /tmp -type p', 'find /home -type f -links +1']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-18 13:22:44+00:00,2026-06-18 13:22:51.170495+00:00,7.17,13,0,0,8,0.5,22.625,1.5487949406953985,0,0,0,0,0,0
gen-12f70c977de31a516694c343,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-05T15:06:55+00:00,2026-06-05T15:07:01.178830+00:00,6.18,"['zip site.zip *.html', 'find /backup -amin +120', 'zip site.zip *.html', 'cat file.txt | tee copy.txt', 'cat <(echo line1) <(echo line2)', 'git', 'zip site.zip *.html', 'bzip2 photo.png']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-05 15:06:55+00:00,2026-06-05 15:07:01.178830+00:00,6.18,15,0,0,8,0.75,19.5,2.4056390622295662,0,0,0,0,0,0
gen-6dc7cac7fd72b05096a9954f,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-22T17:50:39+00:00,2026-06-22T17:50:42.077346+00:00,3.08,"['git', 'awk \'$2 == ""active"" {print $3}\' file.txt', 'git', 'awk \'$2 == ""active"" {print $3}\' file.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-22 17:50:39+00:00,2026-06-22 17:50:42.077346+00:00,3.08,17,0,0,4,0.5,21.5,1.0,0,0,0,0,0,0
gen-1d61fac36cd5e85932a447b2,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-10T08:14:18+00:00,2026-06-10T08:14:26.194406+00:00,8.19,"['find /tmp -path ""*/.Trash"" -prune -o -type f -print', 'find /tmp -path ""*/.Trash"" -prune -o -type f -print', 'git', 'git', 'find /tmp -path ""*/.Trash"" -prune -o -type f -print', 'find /tmp -path ""*/.Trash"" -prune -o -type f -print', 'git', ""touch -d 'last year' past.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-10 08:14:18+00:00,2026-06-10 08:14:26.194406+00:00,8.19,8,0,0,8,0.375,30.25,1.4056390622295665,0,0,0,0,1,0
gen-ffe3fa49054f92fff366bad4,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-18T15:28:05+00:00,2026-06-18T15:28:12.353780+00:00,7.35,"['git', 'git', 'cd', 'git', 'chmod 000 config.yml', 'python3', 'cat <(ls /etc) <(ls /usr)', 'cat file.txt > output.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-18 15:28:05+00:00,2026-06-18 15:28:12.353780+00:00,7.35,15,0,0,8,0.75,11.0,2.4056390622295662,0,0,0,0,0,0
gen-d32e6dcd83bc9478dd6ac7b8,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-11T14:44:31+00:00,2026-06-11T14:44:38.393888+00:00,7.39,"['touch /var/log/boot.log', 'git', 'python3', 'python3', 'chmod g-r file.csv', 'python3', 'cat /sys/class/net/eth0/speed', 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-11 14:44:31+00:00,2026-06-11 14:44:38.393888+00:00,7.39,14,0,0,8,0.625,12.125,2.1556390622295662,0,0,0,0,0,0
gen-a14923c2f920264c0763fcd0,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-15T08:13:17+00:00,2026-06-15T08:13:20.951933+00:00,3.95,"['gzip todo.md', 'python3', 'python3', ""sed 's/on/off/g' config.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-15 08:13:17+00:00,2026-06-15 08:13:20.951933+00:00,3.95,8,0,0,4,0.75,13.25,1.5,0,0,0,0,0,0
gen-c9a7d91fef2ae71357021049,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-16T15:15:29+00:00,2026-06-16T15:15:36.857110+00:00,7.86,"['bzip2 errorlog.txt', 'bzip2 errorlog.txt', 'cd', ""awk '{print $2, $4}' file.txt"", 'cd', ""sed 's/on/off/g' config.txt"", ""sed 's/user[12]/admin/g' file.txt"", ""sed 's/user[12]/admin/g' file.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-16 15:15:29+00:00,2026-06-16 15:15:36.857110+00:00,7.86,15,0,0,8,0.625,20.25,2.25,0,0,0,0,0,0
gen-7ecddbaf26f05fcffb16e5db,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-08T17:24:14+00:00,2026-06-08T17:24:21.820069+00:00,7.82,"['cat -T file.txt', 'cat -T file.txt', 'touch /var/log/Xorg.0.log', 'awk \'$2 == ""admin""\' users.txt', ""sed '/^#/d' config.txt"", ""sed '/^#/d' config.txt"", ""awk '$1 > 10 {sum+=$1} END {print sum}' file.txt"", 'awk \'{printf ""%05d\\n"", $1}\' file.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-08 17:24:14+00:00,2026-06-08 17:24:21.820069+00:00,7.82,17,0,0,8,0.75,26.5,2.5,0,0,0,0,0,0
gen-65c17795b15516bc9f8ded97,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-01T10:26:55+00:00,2026-06-01T10:26:58.623053+00:00,3.62,"['git', 'cat /dev/urandom | head -c 16', 'cat /dev/urandom | head -c 16', 'cat /dev/urandom | head -c 16']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-01 10:26:55+00:00,2026-06-01 10:26:58.623053+00:00,3.62,10,0,0,4,0.5,22.5,0.8112781244591328,0,0,0,0,0,0
gen-fa7457616f18c1081723199d,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-29T16:02:39+00:00,2026-06-29T16:02:42.956143+00:00,3.96,"['tar tzf archive.tar.gz | tail', ""awk '/error/' log.txt"", 'cat /sys/class/net/eth0/address', 'grep cron /etc/rsyslog.d/50-default.conf']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-29 16:02:39+00:00,2026-06-29 16:02:42.956143+00:00,3.96,16,0,0,4,1.0,30.25,2.0,0,0,0,0,0,0
gen-2cd1586a2b840c672e183554,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-26T08:18:22+00:00,2026-06-26T08:18:25.055755+00:00,3.06,"[""grep 'CRON' /var/log/syslog | grep 'CMD'"", 'cd', 'cd', 'cd']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-26 08:18:22+00:00,2026-06-26 08:18:25.055755+00:00,3.06,8,0,0,4,0.5,11.5,0.8112781244591328,0,0,0,0,0,0
gen-f1faf665711533f312e89d10,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-09T15:16:42+00:00,2026-06-09T15:16:45.753566+00:00,3.75,"['gzip style.css', 'bzip2 picture.jpg', 'touch ~/builds', 'touch ~/builds']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-09 15:16:42+00:00,2026-06-09 15:16:45.753566+00:00,3.75,15,0,0,4,0.75,14.75,1.5,0,0,0,0,0,0
gen-cd4b69a99b689c883ae909fe,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-22T14:17:00+00:00,2026-06-22T14:17:07.105032+00:00,7.11,"[""awk '{$2 += 100; print}' file.txt"", ""awk '{$2 += 100; print}' file.txt"", 'python3', ""awk '{$2 += 100; print}' file.txt"", 'cd', 'python3', 'python3', 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-22 14:17:00+00:00,2026-06-22 14:17:07.105032+00:00,7.11,14,0,0,8,0.375,16.125,1.4056390622295665,0,0,0,0,0,0
